@startDateOnly,@value
2020-02-14,2162.4800000000027
2020-02-15,1946.774999999997
2020-02-16,2129.654
2020-02-17,2188.4430000000025
2020-02-18,2310.9660000000085
2020-02-19,2157.0560000000096
2020-02-20,1865.1569999999979
2020-02-21,2122.2169999999996
2020-02-22,1832.3159999999998
2020-02-23,1968.5289999999939
2020-02-24,2306.9220000000123
2020-02-25,2256.541000000004
2020-02-26,2241.9679999999994
2020-02-27,2152.7590000000005
2020-02-28,2181.906999999998
2020-02-29,2053.691000000004
2020-03-01,1903.7429999999981
2020-03-02,2260.964999999996
2020-03-03,2291.0640000000058
2020-03-04,2101.3820000000023
2020-03-05,2236.8510000000074
2020-03-06,2320.1280000000024
2020-03-07,2168.1900000000055
2020-03-08,2038.3380000000006
2020-03-09,2097.4300000000085
2020-03-10,2219.880000000009
2020-03-11,2151.731999999998
2020-03-12,2164.581000000003
2020-03-13,1773.3970000000008
2020-03-14,1915.6049999999962
2020-03-15,1905.1379999999924
2020-03-16,1769.5650000000007
2020-03-17,1912.908999999999
2020-03-18,1833.2220000000025
2020-03-19,1884.909999999999
2020-03-20,1868.7149999999958
2020-03-21,1837.4440000000022
2020-03-22,1841.6629999999986
2020-03-23,1791.3499999999995
2020-03-24,1840.1519999999969
2020-03-25,1927.737999999997
2020-03-26,1845.1279999999922
2020-03-27,1897.055999999992
2020-03-28,1827.8000000000036
2020-03-29,1885.9740000000013
2020-03-30,1908.0349999999953
2020-03-31,2188.8559999999948
2020-04-01,1734.858000000001
2020-04-02,1859.1569999999983
2020-04-03,2033.1759999999988
2020-04-04,2185.2760000000053
2020-04-05,1950.2909999999983
2020-04-06,2009.9919999999943
2020-04-07,1967.7979999999966
2020-04-08,1890.336999999998
2020-04-09,1816.4440000000013
2020-04-10,1863.1110000000035
2020-04-11,1738.265999999997
2020-04-12,1837.0820000000062
2020-04-13,1882.8439999999994
2020-04-14,1848.9159999999945
2020-04-15,1837.7289999999966
2020-04-16,1803.784999999994
2020-04-17,1712.616999999997
2020-04-18,1875.6189999999983
2020-04-19,2187.5610000000092
2020-04-20,1958.7910000000018
2020-04-21,1975.2919999999992
2020-04-22,1866.7149999999926
2020-04-23,1896.75499999999
2020-04-24,1836.548999999995
2020-04-25,1601.5419999999997
2020-04-26,1840.111999999996
2020-04-27,1891.2069999999892
2020-04-28,1960.075999999992
2020-04-29,1880.3419999999967
2020-04-30,1987.560999999993
2020-05-01,1769.8270000000018
2020-05-02,1796.2800000000002
2020-05-03,1628.8190000000002
2020-05-04,1606.1040000000007
2020-05-05,1766.9419999999952
2020-05-06,1707.9919999999988
2020-05-07,1862.1199999999938
2020-05-08,1780.3179999999998
2020-05-09,2125.072000000005
2020-05-10,1894.2779999999977
2020-05-11,1666.4540000000025
2020-05-12,1941.8839999999934
2020-05-13,1922.013999999991
2020-05-14,2053.862
2020-05-15,1710.3550000000014
2020-05-16,1914.5159999999955
2020-05-17,2003.7970000000132
2020-05-18,1728.8789999999979
2020-05-19,1933.387999999996
2020-05-20,1969.4960000000017
2020-05-21,1800.536999999998
2020-05-22,1845.6169999999968
2020-05-23,1804.047999999999
2020-05-24,1939.5460000000016
2020-05-25,2044.501
2020-05-26,1751.0199999999993
2020-05-27,1942.6969999999928
2020-05-28,1693.2179999999973
2020-05-29,2052.204000000001
2020-05-30,1559.8429999999998
2020-05-31,1731.3600000000001
2020-06-01,1782.1009999999985
2020-06-02,1765.8489999999972
2020-06-03,1820.9689999999973
2020-06-04,2377.0690000000013
2020-06-05,1892.8509999999974
2020-06-06,1848.6880000000003
2020-06-07,1645.0070000000007
2020-06-08,1793.5820000000012
2020-06-09,1959.3479999999977
2020-06-10,1858.388999999998
2020-06-11,1902.7769999999957
2020-06-12,2205.470999999999
2020-06-13,1729.3350000000016
2020-06-14,2084.3740000000166
2020-06-15,1949.1549999999966
2020-06-16,1841.753999999995
2020-06-17,1866.3399999999979
2020-06-18,1826.2200000000003
2020-06-19,1908.8660000000032
2020-06-20,1880.5300000000027
2020-06-21,1925.88
2020-06-22,1898.0629999999974
2020-06-23,2486.9449999999997
2020-06-24,1824.865
2020-06-25,2637.7700000000136
2020-06-26,2055.377000000002
2020-06-27,1643.6880000000012
2020-06-28,1796.7599999999943
2020-06-29,3084.940000000002
2020-06-30,2325.0620000000035
2020-07-01,2383.013000000008
2020-07-02,2619.6440000000052
2020-07-03,2900.397000000006
2020-07-04,2000.0759999999989
2020-07-05,2030.9030000000018
2020-07-06,2119.9590000000026
2020-07-07,2901.3970000000018
2020-07-08,1680.712999999999
2020-07-09,2464.6230000000032
2020-07-10,1962.0859999999943
2020-07-11,1885.687999999994
2020-07-12,1896.169999999996
2020-07-13,2359.5210000000025
2020-07-14,2444.5840000000035
2020-07-15,1625.6910000000018
2020-07-16,2358.1300000000024
2020-07-17,2526.3550000000164
2020-07-18,2611.835000000007
2020-07-19,2576.622000000006
2020-07-20,2203.3499999999995
2020-07-21,2430.5090000000055
2020-07-22,1777.9050000000018
2020-07-23,1957.5210000000097
2020-07-24,2816.2310000000057
2020-07-25,1731.329
2020-07-26,2121.329000000005
2020-07-27,2184.5199999998626
2020-07-28,2667.908000000055
2020-07-29,2295.9730000000177
2020-07-30,2766.884999999787
2020-07-31,3086.2239999996373
2020-08-01,1902.3350000000012
2020-08-02,2036.5959999999955
2020-08-03,2481.435999999869
2020-08-04,1852.5299999999959
2020-08-05,1664.3960000000013
2020-08-06,2254.576999999949
2020-08-07,2281.1729999997606
2020-08-08,2109.2210000000077
2020-08-09,2165.362000000006
